assigned gene	MIPS Description	p-value	p-value	p-value
YER032W	interacts with the poly(A) polymerase in the two hybrid system	7.00E-02	1.00E-01	7.90E-01
YER033C	"weak similarity to NMD2P, KEX1P and hamster nucleolin"	7.20E-01	5.20E-01	9.50E-01
YER034W	hypothetical protein	7.20E-01	5.20E-01	9.50E-01
YER035W	weak similarity to EDC1	5.90E-01	2.80E-01	1.00E+00
YER036C	strong similarity to members of the ABC transporter family	7.60E-01	8.30E-01	7.90E-01
YER037W	strong similarity to hypothetical protein YGL224c	7.60E-01	8.30E-01	7.90E-01
YER038C	hypothetical protein	7.50E-01	5.30E-01	3.90E-01
YER039C	strong similarity to vanadate resistance protein GOG5P	8.30E-02	1.50E-01	4.40E-01
YER039C-A	similarity to S. bayanus	8.30E-02	1.50E-01	4.40E-01
YER040W	transcription factor for positive nitrogen regulation	8.30E-02	1.50E-01	4.40E-01
YER041W	weak similarity to DNA repair protein RAD2P and Dsh1p	9.70E-01	5.00E-01	8.80E-01
YER042W	responsible for the reduction of methionine sulfoxide	4.30E-01	1.80E-01	2.60E-01
YER043C	S-adenosyl-L-homocysteine hydrolase	6.80E-01	4.80E-01	2.00E-01
YER044C	involved in synthesis of ergosterol	3.10E-01	2.60E-02	5.50E-01
YER044C-A	meiosis-specific protein	3.10E-01	3.00E-01	1.60E-01
YER045C	ATF/CREB activator	8.10E-02	7.50E-02	8.40E-01
YER046W	hypothetical protein	7.40E-02	3.10E-01	2.60E-01
YER047C	member of the AAA-protein family	1.80E-01	3.00E-01	3.60E-01
YER048C	dnaJ homolog	6.20E-01	5.40E-01	6.60E-01
YER048W-A	similarity to D. melanogaster protein	7.20E-01	6.90E-01	4.60E-01
YER049W	strong similarity to hypothetical S.pombe protein YER049W	4.80E-01	7.50E-01	5.20E-01
YER050C	component of the mitochondrial ribosomal small subunit	8.70E-01	5.70E-01	7.90E-01
YER051W	similarity to C.elegans hypothetical protein	8.70E-01	5.70E-01	7.90E-01
YER052C	L-aspartate 4-P-transferase	8.40E-01	9.10E-01	8.40E-01
YER053C	strong similarity to mitochondrial phosphate carrier protein	5.40E-01	4.70E-01	4.50E-01
YER053C-A		5.30E-01	8.40E-01	4.40E-01
YER054C	GLC7P-interacting protein	5.30E-01	8.40E-01	4.40E-01
YER055C	ATP phosphoribosyltransferase	9.30E-01	5.40E-01	6.90E-01
YER056C	purine-cytosine permease	7.00E-01	2.50E-01	1.70E-01
YER056C-A	ribosomal protein L34	7.90E-01	2.70E-01	6.40E-01
YER057C	Heat-shock induceable Inhibiter of cell Growth	3.30E-01	8.90E-01	6.50E-01
YER058W	cytochrome c oxidase assembly factor	3.30E-01	8.90E-01	6.50E-01
YER059W	cyclin like protein interacting with PHO85P	1.30E-01	7.60E-01	7.10E-01
YER060W	purine-cytosine permease	1.70E-01	6.20E-01	5.80E-01
YER060w-A	purine/cytosine permease with similarity to FCY2P	7.20E-01	8.60E-01	6.10E-01
YER061C	"beta-keto-acyl-ACP synthase, mitochondrial"	6.20E-01	1.00E+00	6.90E-01
YER062C	DL-glycerol phosphatase	2.30E-01	4.30E-01	8.60E-01
YER063W	weak similarity to human heterogeneous ribonuclear particle protein U	2.30E-01	4.30E-01	8.60E-01
YER064C	similarity to hypothetical protein YIL056w	2.30E-01	2.20E-01	8.00E-03
YER065C	isocitrate lyase	3.70E-01	1.00E+00	1.00E+00
YER066C-A	hypothetical protein	1.30E-02	7.50E-01	2.40E-01
YER066W	strong similarity to cell division control protein CDC4P	6.60E-02	6.90E-01	4.40E-01
YER067W	strong similarity to hypothetical protein YIL057c	2.80E-01	8.70E-01	4.00E-01
YER068W	transcriptional repressor	1.30E-02	7.50E-01	2.40E-01
YER069W	"6,acetylglutamate kinase and acetylglutamyl-phosphate reductase"	4.70E-01	3.10E-01	7.20E-01
YER070W	"ribonucleoside-diphosphate reductase, large subunit"	2.80E-02	4.90E-05	8.40E-01
YER071C	hypothetical protein	2.00E-01	3.60E-01	9.60E-01
YER072W	Negative Regulator of Cdc Fourty two (CDC42)	2.00E-01	3.60E-01	9.60E-01
YER073W	"aldehyde dehydrogenase (NAD+), mitochondrial"	7.70E-01	7.90E-01	9.60E-01
YER074W	40s small subunit ribosomal protein S24.e	7.60E-01	9.40E-01	6.10E-01
YER075C	protein tyrosine phosphatase	5.60E-01	4.70E-01	4.50E-01
YER076C	similarity to killer toxin Khr1p	8.30E-01	5.20E-01	4.60E-01
YER077C	hypothetical protein	3.40E-03	2.80E-01	4.30E-01
YER078C	similarity to E.coli X-Pro aminopeptidase II	4.30E-09	2.70E-06	3.00E-09
YER079W	hypothetical protein	4.30E-09	2.70E-06	3.00E-09
YER080W	hypothetical protein	8.30E-02	5.10E-01	2.20E-01
YER081W	3-phosphoglycerate dehydrogenase	1.20E-04	1.30E-02	3.30E-01
YER082C	similarity to M.sexta steroid regulated MNG10 protein	8.20E-02	1.40E-01	3.40E-01
YER083C	hypothetical protein	1.30E-01	3.80E-01	3.90E-01
YER084W	questionable ORF	8.20E-02	1.40E-01	3.40E-01
YER085C	weak similarity to myosins	7.40E-01	7.20E-01	6.50E-01
YER086W	anabolic serine and threonine dehydratase precursor	7.40E-01	7.20E-01	6.50E-01
YER087C-A	questionable ORF	1.70E-03	2.10E-02	3.00E-01
YER087W	similarity to E.coli prolyl-tRNA synthetase	4.10E-02	7.20E-01	1.60E-01
YER088C	involved in derepression of telomeric silencing	1.30E-02	1.20E-01	4.80E-02
YER089C	protein serine/threonine phosphatase of the PP2C family	1.70E-01	4.60E-01	1.20E-01
YER090W	anthranilate synthase component I	1.70E-01	4.60E-01	1.20E-01
YER091C	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	4.10E-01	4.90E-01	5.20E-01
YER091C-A	hypothetical protein - identified by SAGE	7.60E-01	4.10E-02	6.40E-01
YER092W	weak similarity to tryptophan synthase beta subunit - Aquifex aeolicus	7.60E-01	4.10E-02	6.40E-01
YER093C	weak similarity to S.epidermidis PepB protein	7.90E-01	6.40E-01	2.60E-01
YER093C-A	similarity to hypothetical protein YBL059w	3.30E-01	5.40E-01	5.00E-01
YER094C	20S proteasome subunit (beta3)	6.80E-01	5.80E-01	9.00E-01
YER095W	DNA repair protein	6.80E-01	5.80E-01	9.00E-01
YER096W	sporulation specific protein	3.80E-01	7.60E-01	3.50E-01
YER097W	weak similarity to ribosomal S3 proteins	3.20E-01	1.00E+00	1.00E+00
YER098W	ubiquitin carboxyl-terminal hydrolase	3.20E-01	1.00E+00	1.00E+00
YER099C	ribose-phosphate pyrophosphokinase	1.70E-01	9.70E-01	4.60E-01
YER100W	E2 ubiquitin-conjugating enzyme	1.70E-01	9.70E-01	4.60E-01
YER101C	involved in targeting of plasma membrane [H+]ATPase	7.90E-01	7.50E-01	6.30E-01
YER102W	ribosomal protein S8.e	7.90E-01	7.50E-01	6.30E-01
YER103W	"heat shock protein of HSP70 family, cytosolic"	7.80E-01	6.00E-01	8.00E-01
YER104W	disruption causes increase in Ty1 retrotransposition	2.20E-01	2.60E-01	7.90E-01
YER105C	nuclear pore protein	3.50E-01	7.30E-01	1.00E+00
YER106W	weak similarity to At2g20470 A. thaliana	3.50E-01	7.30E-01	1.00E+00
YER107C	required for nuclear pore complex structure and function	5.40E-02	5.70E-01	6.60E-01
YER109C	required for diploid filamentous growth	4.90E-01	5.30E-01	5.20E-01
YER110C	RAN-binding protein	1.30E-01	7.10E-01	5.00E-02
YER111C	transcription factor	2.50E-01	7.90E-05	3.80E-01
YER112W	Sm-like (Lsm) protein	2.50E-01	7.90E-05	3.80E-01
YER113C	similarity to EMP70P	1.20E-01	8.70E-02	6.00E-01
YER114C	budding protein	7.20E-01	7.50E-01	5.50E-01
YER115C	sporulation-specific protein	4.10E-02	6.40E-01	4.00E-01
YER116C	"subunit of HEX3P-SLX8P complex, required for cell growth in the absence of SGS1 or TOP3"	7.70E-01	7.50E-01	4.00E-01
YER117W	ribosomal protein L23.e	7.70E-01	7.50E-01	4.00E-01
YER118C	involved in the HOG1 high-osmolarity signal transduction pathway	7.40E-01	6.30E-01	7.60E-01
YER119C	weak similarity to E.herbicola tyrosine permease	1.60E-01	5.90E-01	4.90E-01
YER119C-A	questionable ORF	1.60E-01	5.90E-01	4.90E-01
YER120W	required for inositol metabolism	7.40E-01	6.30E-01	7.60E-01
YER121W	hypothetical protein	1.60E-01	5.90E-01	4.90E-01
YER122C	zinc finger protein	3.20E-02	6.40E-01	2.40E-01
YER123W	"casein kinase, isoform 3"	3.20E-02	6.40E-01	2.40E-01
YER124C	weak similarity to Dictyostelium WD40 repeat protein 2	7.40E-10	7.20E-01	4.20E-02
YER125W	hect domain E3 ubiquitin-protein ligase	7.40E-10	7.20E-01	4.20E-02
YER126C	weak similarity to E.coli colicin N	4.00E-07	7.50E-01	7.70E-02
YER127W	NGG1P interacting protein	4.00E-07	7.50E-01	7.70E-02
YER128W	hypothetical protein	5.80E-01	3.90E-01	5.10E-01
YER129W	DNA polymerase alpha suppressing protein kinase	6.80E-02	7.30E-01	1.30E-01
YER130C	similarity to MSN2P and weak similarity to MSN4P	8.50E-01	5.30E-01	2.90E-01
YER131W	40S small subunit ribosomal protein S26e-c5	8.50E-01	5.30E-01	2.90E-01
YER132C	negative regulator of early meiotic expression	4.20E-01	5.50E-01	4.30E-01
YER133W	"ser/thr phosphoprotein phosphatase 1, catalytic chain"	4.30E-01	7.10E-01	3.60E-01
YER134C	weak similarity to S.pombe SPBC13G1 and C.elegans F26F2.d hypothetical proteins	6.30E-01	6.40E-01	5.10E-01
YER135C	hypothetical protein	8.80E-01	9.50E-01	6.00E-01
YER136W	GDP dissociation inhibitor	7.00E-01	6.70E-01	8.00E-01
YER137C	weak similarity to Mycoplasma hominis P120 protein	4.10E-01	3.80E-01	7.90E-01
YER137C-A		3.10E-01	9.70E-01	3.10E-01
YER138C		1.50E-01	5.20E-01	3.50E-03
YER138W-A	questionable ORF - identified by SAGE	3.10E-01	9.70E-01	3.10E-01
YER139C	similarity to hypothetical protein YDR066c	3.50E-01	8.40E-01	4.70E-01
YER140W	similarity to PIR:T39406 hypothetical protein S. pombe	3.50E-01	8.40E-01	4.70E-01
YER141W	cytochrome oxidase assembly factor	5.90E-01	5.20E-01	4.80E-01
YER142C	3-methyladenine DNA glycosylase	3.30E-01	3.40E-01	6.50E-01
YER143W	induced in response to DNA alkylation damage	3.30E-01	3.40E-01	6.50E-01
YER144C	ubiquitin-specific protease	4.40E-01	5.20E-01	5.70E-01
YER145C	iron permease that mediates high-affinity iron uptake	7.60E-02	4.40E-03	2.50E-01
YER146W	Sm-like (Lsm) protein	7.60E-02	4.40E-03	2.50E-01
YER147C	protein required for sister chromatid cohesion	2.50E-01	2.80E-01	5.70E-01
YER148W	the TATA-binding protein TBP	2.50E-01	2.80E-01	5.70E-01
YER149C	involved in oriented growth toward mating partner	8.40E-01	8.70E-01	8.70E-01
YER150W	Stationary Phase Induced	8.40E-01	8.70E-01	8.70E-01
YER151C	ubiquitin-specific proteinase	5.20E-01	3.20E-01	3.80E-01
YER152C	weak similarity to E.coli hypothetical protein f470	4.40E-04	1.10E-02	5.70E-01
YER153C	translational activator of cytochrome c oxidase subunit III	4.40E-04	1.10E-02	5.70E-01
YER154W	cytochrome oxidase biogenesis protein	4.40E-04	1.10E-02	5.70E-01
YER155C	GTPase-activating protein	6.10E-01	4.60E-01	6.00E-01
YER156C	similarity to hypothetical C. elegans protein C27H6.5	2.10E-01	2.50E-01	2.10E-01
YER157W	required for vesicle tethering to the yeast Golgi apparatus	2.10E-01	2.50E-01	2.10E-01
YER158C	weak similarity to AFR1P	7.30E-01	6.10E-02	7.20E-01
YER159C	functional homolog of human NC2alpha	9.90E-01	7.60E-01	9.60E-01
YER159C-A		9.10E-01	3.80E-01	7.70E-01
YER160C		9.10E-01	3.80E-01	7.70E-01
YER161C	multifunctional HMG-like chromatin protein	7.80E-01	5.10E-01	8.50E-01
YER162C	excision repair protein	5.70E-01	3.30E-01	4.10E-01
YER163C	weak similarity to E.coli cation transport protein	8.10E-01	9.70E-01	7.80E-01
YER164W	transcriptional regulator	9.30E-01	8.10E-01	6.20E-01
YER165W	mRNA polyadenylate-binding protein	9.00E-01	8.10E-01	5.20E-01
YER166W	similarity to ATPase P.falciparum ATPase 2	7.00E-01	8.50E-01	3.20E-01
YER167W	suppressor of mutations in protein kinase C pathway components	9.00E-01	7.20E-01	8.80E-01
YER168C	tRNA nucleotidyltransferase	8.30E-01	5.20E-01	6.40E-01
YER169W	similarity to human retinoblastoma binding protein 2	8.30E-01	5.20E-01	6.40E-01
YER170W	"adenylate kinase, mitochondrial"	9.00E-01	6.50E-01	4.50E-01
YER171W	DNA helicase/ATPase	7.90E-01	6.70E-01	4.60E-01
YER172C	RNA helicase-related protein	9.70E-01	7.00E-01	1.00E+00
YER173W	cell cycle checkpoint protein	9.70E-01	7.00E-01	1.00E+00
YER174C	"member of the subfamily of yeast glutaredoxins (Grx3, GRX4, and Grx5)"	3.00E-01	7.00E-01	5.10E-01
YER175C	similarity to hypothetical protein YHR209w	4.90E-01	8.40E-01	5.50E-01
YER176W	DNA dependent ATPase/DNA helicase B	4.90E-01	8.40E-01	5.50E-01
YER177W	14-3-3 protein involved in rapamycin-sensitive signalling	9.60E-04	8.10E-04	1.20E-03
YER178W	pyruvate dehydrogenase (lipoamide) alpha chain precursor	5.70E-01	7.80E-01	7.90E-01
YER179W	meiosis-specific protein	5.20E-02	8.40E-02	7.20E-01
YER180C	meiosis-specific protein	8.40E-01	9.60E-01	9.00E-01
YER181C	questionable ORF	3.20E-01	8.20E-01	6.70E-01
YER182W	similarity to hypothetical protein SPAC3A12.08 - S. pombe	2.10E-01	5.10E-01	1.00E+00
YER183C	"similarity to human 5,10-methenyltetrahydrofolate synthetase"	1.30E-01	8.10E-01	5.50E-01
YER184C	similarity to multidrug resistance proteins PDR3P and PDR1P	6.10E-01	9.20E-01	6.50E-01
YER185W	strong similarity to Rtm1p	6.10E-01	9.20E-01	6.50E-01
YER186C	weak similarity to hypothetical protein YMR316w	5.10E-01	7.90E-01	6.80E-01
YER187W	similarity to killer toxin KHS precursor	6.10E-01	8.10E-01	6.60E-01
YER187W-A		6.10E-01	8.10E-01	6.60E-01
YER188W	weak similarity to viral RNA replicase	7.10E-01	5.30E-01	5.50E-01
YER189W	strong similarity to subtelomeric encoded proteins	6.00E-05	2.90E-02	5.00E-12
YER190W	Y'-helicase protein 1	6.00E-05	2.90E-02	5.00E-12
YFL001W	pseudouridine synthase	8.70E-01	8.60E-01	5.50E-01
YFL002C	ATP-dependent RNA helicase of DEAH box family	8.70E-01	8.60E-01	5.50E-01
YFL002W-A		6.80E-01	6.70E-01	5.30E-01
YFL002W-B		6.80E-01	6.70E-01	5.30E-01
YFL003C	meiosis-specific protein	9.50E-01	8.60E-01	9.00E-01
YFL004W	putative polyphosphate synthetase	8.60E-01	9.50E-01	8.10E-01
YFL005W	GTP-binding protein of the ras superfamily	4.30E-01	8.80E-01	5.40E-01
YFL006W	similarity to hypothetical protein TRCDSEMBL:AB024034_15 A. thaliana	5.30E-01	9.40E-01	8.40E-02
YFL007W	weak similarity to Mms19p	2.40E-01	5.90E-01	7.80E-02
YFL008W	chromosome segregation protein	7.80E-01	6.10E-01	7.60E-01
YFL009W	cell division control protein	2.60E-02	8.00E-01	1.80E-01
YFL010C	questionable ORF	2.60E-02	8.00E-01	1.80E-01
YFL010W-A	involved in ammonia regulation of amino acid transport	9.40E-01	7.80E-01	6.10E-01
YFL011W	hexose transporter	2.40E-02	8.00E-02	2.10E-02
YFL012W	hypothetical protein	5.60E-01	6.30E-01	1.80E-01
YFL013C	weak similarity to Dictyostelium protein kinase	5.60E-01	6.30E-01	1.80E-01
YFL013W-A	questionable ORF	6.80E-03	7.10E-02	6.60E-05
YFL014W	heat shock protein	2.10E-01	3.80E-01	5.30E-01
YFL015C	weak similarity to YDR504c	2.10E-01	3.80E-01	5.30E-01
YFL016C	heat shock protein - chaperone	4.10E-01	3.60E-02	4.00E-01
YFL017C	essential acetyltransferase	7.40E-01	4.90E-01	5.90E-01
YFL017W-A	snRNP G protein (the homologue of the human Sm-G)	2.30E-01	6.30E-01	1.90E-01
YFL018C	dihydrolipoamide dehydrogenase precursor	2.30E-01	6.30E-01	1.90E-01
YFL019C	hypothetical protein	3.80E-01	7.00E-01	2.10E-01
YFL020C	strong similarity to members of the SRP1P/TIP1P family	2.80E-01	8.30E-01	6.40E-01
YFL021W	transcription factor for nitrogen regulation	4.40E-04	1.20E-01	5.60E-04
YFL022C	"phenylalanine--tRNA ligase beta chain, cytosolic"	4.40E-04	1.20E-01	5.60E-04
YFL023W	similarity to repeat structures in a Plasmodium falciparum protein (MESA) that binds human erythrocyte protein 4.1.	2.90E-01	5.90E-01	3.20E-01
YFL024C	weak similarity to YMR164c and GAL11P	2.90E-01	5.90E-01	3.20E-01
YFL025C	negative regulator of COPII vesicle formation	9.20E-01	9.00E-01	7.80E-01
YFL026W	pheromone alpha-factor receptor	5.50E-01	4.10E-01	8.70E-01
YFL027C	weak similarity to P.falciparum Pfmdr2 protein	5.50E-01	4.10E-01	8.70E-01
YFL028C	ATP-binding cassette transporter family member	3.10E-02	3.80E-01	4.20E-01
YFL029C	cdk-activating protein kinase	1.20E-01	2.00E-01	6.80E-01
YFL030W	similarity to several transaminases	7.00E-01	7.10E-01	7.00E-01
YFL031W	transcription factor	1.70E-01	2.50E-01	7.00E-01
YFL032W	questionable ORF	1.70E-01	2.50E-01	7.00E-01
YFL033C	protein kinase involved in expression of meiotic genes	1.70E-01	2.50E-01	7.00E-01
YFL034C-A	ribosomal protein	3.10E-01	5.40E-01	1.50E-01
YFL034C-B	required for maintenance in ploidy	7.30E-01	5.70E-01	4.30E-01
YFL034W	similarity to hypothetical S. pombe protein and to C.elegans F35D11 protein	3.10E-01	5.40E-01	1.50E-01
YFL036W	"DNA-directed RNA polymerase, mitochondrial"	3.90E-01	1.40E-01	3.50E-01
YFL037W	beta-tubulin	3.60E-01	1.70E-01	6.80E-01
YFL038C	GTP-binding protein of the rab family	3.60E-01	1.70E-01	6.80E-01
YFL039C	actin	6.30E-01	1.90E-01	3.20E-01
YFL040W	similarity to yeast glucose transport proteins	8.80E-01	5.80E-01	6.50E-01
YFL041W	multicopy oxidase	2.10E-01	8.30E-01	4.60E-01
YFL042C	similarity to hypothetical protein YLR072w	2.10E-01	8.30E-01	4.60E-01
YFL043C		2.10E-01	8.30E-01	4.60E-01
YFL044C	weak similarity to human dystrophin	2.50E-01	1.00E+00	6.00E-01
YFL045C	phosphomannomutase	7.70E-01	1.80E-01	4.70E-01
YFL046W	weak similarity to middle part of C.elegans myosin heavy chain A	5.60E-01	8.30E-01	6.20E-01
YFL047W	similarity to S.pombe hypothetical protein SPAC2F7.18c	6.80E-01	8.40E-01	1.00E+00
YFL048C	Golgi membrane protein	6.80E-01	8.40E-01	1.00E+00
YFL049W	weak similarity to NPL6P	6.20E-01	8.00E-01	5.10E-01
YFL050C	divalent cation transprter	6.20E-01	8.00E-01	5.10E-01
YFL051C	"strong similarity to FLO1P, FLO5P and FLO9P - putative pseudogene"	8.80E-01	4.60E-01	3.60E-01
YFL052W	"strong similarity to Mal63p, YPR196w and MAL13P"	2.40E-01	9.30E-01	4.40E-01
YFL053W	dihydroxyacetone kinase	6.10E-01	7.50E-01	5.60E-01
YFL054C	similarity to channel proteins	6.10E-01	7.50E-01	5.60E-01
YFL055W	amino acid permease	1.70E-01	7.50E-01	2.80E-01
YFL056C	strong similarity to aryl-alcohol dehydrogenases	8.40E-03	9.10E-01	7.00E-01
YFL057C	strong similarity to aryl-alcohol dehydrogenases	8.40E-03	9.10E-01	7.00E-01
YFL058W	pyrimidine biosynthesis protein	7.70E-01	8.20E-01	9.50E-01
YFL059W	strong similarity to Para rubber tree ethylene-responsive protein1	3.80E-01	7.50E-01	3.20E-01
YFL060C	strong similarity to SNO1 and SNO2	3.80E-01	7.50E-01	3.20E-01
YFL061W	similarity to M.verrucaria cyanamide hydratase	5.80E-01	8.80E-01	2.50E-01
YFL062W	strong similarity to subtelomeric encoded proteins	9.60E-01	8.50E-01	1.70E-01
YFL063W	strong similarity to subtelomeric encoded proteins	3.00E-01	3.40E-01	9.30E-04
YFL064C	strong similarity to subtelomeric encoded proteins	3.00E-01	3.40E-01	9.30E-04
YFL065C	strong similarity to subtelomeric encoded proteins	3.00E-01	3.40E-01	9.30E-04
YFL066C	strong similarity to subtelomeric encoded proteins	6.50E-01	9.00E-01	2.80E-01
YFL067W	similarity to mouse period clock protein	3.30E-01	9.50E-01	9.20E-02
YFR001W	weak similarity to rabbit triadin SPP41P	3.90E-01	8.00E-03	8.30E-01
YFR002W	nuclear pore protein	4.70E-01	8.60E-01	8.60E-01
YFR003C	strong similarity to hypothetical protein SPAC6B12.13 - S.pombe	3.50E-01	9.10E-01	7.10E-01
YFR004W	26S proteasome regulatory subunit	3.50E-01	9.10E-01	7.10E-01
YFR005C	SnRNP assembly defective	7.90E-01	6.30E-01	7.10E-01
YFR006W	similarity to X-Pro dipeptidases	7.90E-01	6.30E-01	7.10E-01
YFR007W	weak similarity to YER176w	9.90E-02	5.10E-01	3.40E-01
YFR008W	weak similarity to human centromere protein E	3.90E-01	1.00E+00	4.90E-01
YFR009W	positive effector of GCN2P	3.10E-01	8.80E-01	6.40E-01
YFR010W	ubiquitin-specific protease	2.90E-01	6.50E-01	5.90E-01
YFR011C	ochre suppressor tyr-tRNA	8.80E-01	4.50E-01	7.00E-01
YFR012W	similarity to hypothetical protein YOL019w	3.20E-01	5.20E-01	7.00E-01
YFR013W	similarity to YOL017w	3.00E-01	9.50E-01	4.30E-01
YFR014C	Ca2+/calmodulin-dependent ser/thr protein kinase type I	6.90E-01	7.20E-01	8.00E-01
YFR015C	"UDP glucose--starch glucosyltransferase, isoform 1"	2.40E-01	3.80E-01	5.00E-01
YFR016C	similarity to mammalian neurofilament proteins and to Dictyostelium protein kinase	6.10E-01	5.90E-01	6.50E-01
YFR017C	hypothetical protein	1.30E-09	8.30E-05	3.10E-08
YFR018C	similarity to human glutaminyl-peptide cyclotransferase	6.90E-02	1.80E-01	2.20E-01
YFR019W	phosphatidylinositol 3-phosphate 5-kinase	6.90E-02	1.80E-01	2.20E-01
YFR020W	hypothetical protein	3.50E-01	7.30E-01	8.30E-01
YFR021W	similarity to hypothetical protein YPL100w	2.30E-01	7.70E-01	1.50E-01
YFR022W	similarity to ROD1P	6.30E-01	9.50E-01	8.20E-01
YFR023W	DNA-directed DNA polymerase epsilon suppressor	5.20E-02	5.80E-01	7.90E-02
YFR024C		2.80E-01	7.40E-01	2.70E-01
YFR024C-A	similarity to Acanthamoeba myosin heavy chain IC and weak similarity to other myosin class I heavy chains	2.80E-01	7.40E-01	2.70E-01
YFR025C	histidinol phosphatase	9.30E-01	5.00E-01	6.80E-01
YFR026C	hypothetical protein	4.30E-01	8.80E-01	6.90E-01
YFR027W	involved in sister chromatid cohesion during replication	1.70E-01	3.00E-01	6.90E-02
YFR028C	dual specificity phosphatase	4.10E-01	4.90E-01	4.40E-01
YFR029W	"regulator of expression of the PTR2, GAP1 and BAP2 genes"	8.00E-01	6.70E-01	3.70E-01
YFR030W	sulfite reductase flavin-binding subunit	5.10E-01	7.50E-01	8.30E-01
YFR031C	chromosome segregation protein	3.90E-01	7.20E-01	7.10E-01
YFR031C-A	ribosomal protein L8.e	7.50E-02	7.00E-01	3.30E-03
YFR032C	"weak similarity to S.pombe polyadenylate-binding protein, YPR112c and SBP1P"	3.90E-01	8.00E-01	5.90E-01
YFR032C-A	60S large subunit ribosomal protein	7.20E-01	6.40E-01	5.40E-01
YFR033C	ubiquinol--cytochrome-c reductase 17K protein	1.50E-01	4.00E-01	5.70E-01
YFR034C	transcription factor	5.70E-01	6.60E-01	2.00E-01
